관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
31200-12507,청솔공원,어린이공원,,울산광역시 북구 화봉동 468-1,35.58853845,129.3700584,1539,체육시설(4),조합놀이대(모래)(1)+기타놀이대(1)+그네(1),화장실(1)+파고라(1)+등의자(2)+평상(1),,CCTV(2),1997-07-15,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-12208,상방공원,근린공원,,울산광역시 북구 연암동 378,35.58425629,129.368571,12025,체육시설(8)+농구대(2),조합놀이대(모래)(1)+그네(1),파고라(2)+등의자(13),,CCTV(3),1997-07-15,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-12509,화봉공원,근린공원,,울산광역시 북구 화봉동 445-1,35.58943549,129.3648249,11422,체육시설(6)+풋살구장(1),조합놀이대(모래)(1),화장실(1)+파고라(6)+등의자(9)+평의자(6),,CCTV(2),1997-07-15,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-12710,성내어린이공원,어린이공원,,울산광역시 북구 염포동 995-11,35.52393871,129.4016103,1758,체육시설(8),조합놀이대(모래)(1)+그네(1)+흔들놀이(2),팔각정자(1)+등의자(11)+음수대(1),,CCTV(3),1998-03-01,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10211,수동공원,어린이공원,,울산광역시 북구 호계동 669,35.62489541,129.3574434,1500,체육시설(2),조합놀이대(모래)(1),파고라(1)+등의자(5)+평의자(3),,CCTV(2),2000-03-04,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
41590-00510,71호,기타,,경기도 화성시 오산동 1030-20,37.1857292,127.1026187,6934,,,,,,,,031-5189-6961,2022-11-01,5530000,경기도 화성시
31200-10212,우리공원,어린이공원,,울산광역시 북구 호계동 263-2,35.63174258,129.3560799,2066,체육시설(5),조합놀이대(모래)(1),파고라(1)+등의자(6),,CCTV(3),2002-08-20,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10213,희망공원,어린이공원,,울산광역시 북구 호계동 262-1,35.63153712,129.3535152,1941,,조합놀이대(모래)(1),파고라(1)+등의자(3)+평의자(6),야외무대(1),CCTV(2),2002-08-20,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10214,오뚜기공원,어린이공원,,울산광역시 북구 호계동 256,35.62974926,129.3519602,1551,체육시설(5),조합놀이대(고무칩)(1),파고라(1)+등의자(6)+평의자(4),,CCTV(2),2002-08-20,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10215,해맑은공원,어린이공원,,울산광역시 북구 호계동 265-8,35.63016398,129.3577975,2140,풋살구장(1),조합놀이대(모래)(1)+그네(1),화장실(1)+파고라(1)+등의자(5)+평의자(4),,CCTV(3),2002-08-20,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10216,으뜸공원,어린이공원,,울산광역시 북구 호계동 284-5,35.62892516,129.3557885,1840,체육시설(4),조합놀이대(고무칩)(1),화장실(1)+파고라(1)+등의자(4)+평의자(5),,CCTV(3),2002-08-20,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10217,종달새공원,어린이공원,,울산광역시 북구 호계동 276-4,35.62772724,129.3532853,2041,체육시설(4),조합놀이대(모래)(1),파고라(1)+평의자(2),,CCTV(2),2002-08-20,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10618,중산어린이공원,어린이공원,,울산광역시 북구 중산동 569,35.66164585,129.3370105,5443,체육시설(11)+미니골대(2),조합놀이대(고무칩)(2),팔각정자(2)+등의자(2)+평의자(2),,CCTV(2),2005-06-15,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10319,매곡산단공원(매곡2),근린공원,,울산광역시 북구 매곡동 351-9,35.64347912,129.367077,10043,,,,,,2006-05-21,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10520,신천어린이공원,어린이공원,,울산광역시 북구 신천동 114-5,35.64219111,129.3493598,2077,체육시설(5),"조합놀이대(고무칩, 물놀이장)(2)+기타놀이대(1)",파고라(5)+등의자(4),,CCTV(3),2007-09-11,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10721,상안어린이공원,어린이공원,,울산광역시 북구 상안동 352,35.62762957,129.3443087,4795,체육시설(5)+농구대(1)+풋살구장(1),조합놀이대(고무칩)(1)+기타놀이대(1),파고라(3)+평의자(11)+자전거대(1),,CCTV(3),2007-11-23,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10322,매곡1어린이공원,어린이공원,,울산광역시 북구 매곡동 848,35.64352314,129.3536182,1500,체육시설(2),조합놀이대(고무칩)(1)+그네(1)+흔들놀이대(3)+기타놀이대(1),파고라(1)+평상(1),,CCTV(2),2008-03-10,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10524,신천소공원,소공원,,울산광역시 북구 신천동 784,35.64659206,129.3459848,6435,체육시설(5),,파고라(1)+등의자(12)+평의자(4),야외무대(1)+유물전시(1),CCTV(4),2011-02-09,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-10325,온누리공원,근린공원,,울산광역시 북구 매곡동 산90,35.64505397,129.3606976,20223,다목적구장(1)+농구대(1)+체육시설(16),조합놀이대(고무칩)(1)+흔들놀이대(6)+그네(1)+시소(1)+기타놀이대(1),막파고라(8)+자전거대(2)+등의자(19),유물전시(1),CCTV(3),2011-06-20,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-12526,아람어린이공원,어린이공원,,울산광역시 북구 화봉동 1338-2,35.5960765,129.3661983,1632,체육시설(3),조합놀이대(고무칩)(1)+기타놀이대(1)+흔들놀이대(3),파고라(2)+등의자(2)+평의자(7)+음수대(1),,CCTV(1),2011-11-18,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-12527,아라어린이공원,어린이공원,,울산광역시 북구 화봉동 1339-3,35.59561286,129.3682584,1509,체육시설(2),조합놀이대(고무매트)(1)+기타놀이대(2)+흔들놀이대(4),파고라(2)+등의자(5)+평의자(4),,CCTV(3),2011-11-18,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31200-12528,누리어린이공원,어린이공원,,울산광역시 북구 화봉동 1457-3,35.59120693,129.3702529,6248,체육시설(6),조합놀이대(고무칩)(1)+그네(1)+흔들놀이대(3),파고라(2)+등의자(12)+평의자(8),교통시설물(1),CCTV(3),2011-11-18,울산광역시 북구청,052-241-7942,2022-06-13,3720000,울산광역시 북구
31140-00024,새롬공원,어린이공원,,울산광역시 남구 달동 1307-5,35.53419054,129.3397376,2550.1,,"조합놀이대, 그네",,,,1988-08-25,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00025,아름공원,어린이공원,,울산광역시 남구 달동 1303-4,35.5344258,129.3378544,2640,,"조합놀이대, 그네",,,,1988-08-25,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00026,자두공원,어린이공원,,울산광역시 남구 달동 1260-1,35.53677824,129.3342888,1502,,"조합놀이대, 시소",,,,1988-08-25,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00027,초록빛공원,어린이공원,,울산광역시 남구 달동 1289-4,35.53469312,129.3343309,3280.1,,조합놀이대,파고라,,,1988-08-25,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00028,가람공원,어린이공원,,울산광역시 남구 삼산동 1459-2,35.54782507,129.334889,1524.2,,조합놀이대,,,,1988-11-03,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00029,강변공원,어린이공원,,울산광역시 남구 삼산동 1463-1,35.54595386,129.3323042,4393.5,,조합물놀이장,"화장실, 파고라",,,1988-11-03,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00030,벚꽃공원,어린이공원,,울산광역시 남구 삼산동 1490-1,35.54747457,129.3297209,3191.6,,"조합놀이대, 그네",,,,1988-11-03,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00031,웨딩테마공원,어린이공원,,울산광역시 남구 삼산동 1495-1,35.5477557,129.3264852,2895.4,,"조합놀이대, 흔들놀이기구",,,,1988-11-03,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00032,은비공원,어린이공원,,울산광역시 남구 삼산동 1461-2,35.54487717,129.3333192,1720.2,농구장,조합놀이대,파고라,,,1988-11-03,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00033,배남공원,근린공원,,울산광역시 남구 용연동 580-1,35.48518867,129.3585024,24474,,,,,,1990-01-25,울산광역시 남구청,052-226-4853,2022-03-31,3700000,울산광역시 남구
31140-00034,여천1호공원,근린공원,,울산광역시 남구 여천동 355-5,35.5216459,129.3466934,11965,,,,,,1990-01-31,울산광역시 남구청,052-226-4853,2022-03-31,3700000,울산광역시 남구
31140-00035,마단공원,어린이공원,,울산광역시 남구 달동 1337-9,35.54126301,129.3292343,2529.2,,조합놀이대,파고라,,,1990-02-08,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00036,비둘기공원,어린이공원,,울산광역시 남구 달동 1332-2,35.54258379,129.3320571,1953,,조합놀이대,파고라,,,1990-02-08,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00037,왕생이공원,어린이공원,,울산광역시 남구 달동 1345-6,35.5400934,129.3296233,2538.2,,"조합놀이대, 그네, 시소2",파고라,,,1990-02-08,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00038,정다운공원,어린이공원,,울산광역시 남구 달동 1352-1,35.54176284,129.3345689,3884,족구장,조합놀이대,,,,1990-02-08,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00039,햇살공원,어린이공원,,울산광역시 남구 달동 1349-2,35.54023667,129.3323932,2023.1,,"조합놀이대2, 시소",파고라,,,1990-02-08,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00040,느티공원,어린이공원,,울산광역시 남구 달동 1392-3,35.53293804,129.3199339,1500,,조합놀이대,,,,1990-09-13,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00041,다문화공원,어린이공원,,울산광역시 남구 달동 1407-1,35.53345362,129.317296,1505.9,,조합놀이대,파고라,,,1990-09-13,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00042,하나공원,어린이공원,,울산광역시 남구 달동 1377-6,35.53212247,129.328532,1500,,조합놀이대,파고라,,,1990-09-13,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00043,동평공원,어린이공원,,울산광역시 남구 달동 134-1,35.53452471,129.3240067,2704.6,,"조합물놀이장, 그네","화장실, 파고라",,,1990-11-20,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00044,쉼터공원,어린이공원,,울산광역시 남구 달동 118-2,35.53559536,129.3266376,3988.4,,"조합놀이대, 그네",파고라,,,1990-11-20,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00045,희망공원,어린이공원,,울산광역시 남구 달동 119-3,35.53395749,129.3272281,2177.2,,조합놀이대,,,,1990-11-20,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00046,가시나무공원,어린이공원,,울산광역시 남구 무거동 1206,35.54957434,129.2757618,1787.5,,조합놀이대,파고라,,,1990-12-02,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00047,솔숲공원,어린이공원,,울산광역시 남구 무거동 1170-1,35.55006859,129.2716553,2426.8,,"조합놀이대, 그네",파고라,,,1990-12-02,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00048,정광공원,어린이공원,,울산광역시 남구 무거동 1260-3,35.5463028,129.2848514,2651.9,,조합놀이대,파고라,,,1990-12-02,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00049,이슬공원,어린이공원,,울산광역시 남구 삼산동 1553-1,35.54299687,129.3411288,2392,,"조합놀이대, 그네, 미끄럼틀",파고라,,,1991-01-08,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00050,포그니공원,어린이공원,,울산광역시 남구 삼산동 1560-5,35.54150912,129.3430834,1744.3,,시소,파고라,,,1991-01-08,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
41370-00108,세교2 제5호 수변공원,수변공원,,경기도 오산시 금암동 198,37.1695016,127.049281,1258,,,,,,2016-03-31,경기도 오산시환경사업소 공원녹지과,031-8036-6473,2022-04-30,4000000,경기도 오산시
41370-00109,원동수변공원,수변공원,경기도 오산시 부원로87번길 51,경기도 오산시 원동 715-8,37.140907,127.091507,17788,,,,,,2018-11-06,경기도 오산시환경사업소 공원녹지과,031-8036-6473,2022-04-30,4000000,경기도 오산시
41370-00110,가장동체육공원,체육공원,경기도 오산시 가장산업동로 49,경기도 오산시 가장동 382-4,37.164782,127.041189,11856,,,,,,2016-03-14,경기도 오산시환경사업소 공원녹지과,031-8036-6473,2022-04-30,4000000,경기도 오산시
31140-00001,청솔공원,어린이공원,,울산광역시 남구 신정동 689-4,35.53661172,129.3101993,2884,,,,,,1963-05-03,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00002,비단공원,어린이공원,,울산광역시 남구 신정동 161-1,35.54291934,129.3200912,1508.1,,"조합놀이대, 흔들놀이기구",파고라,,,1971-01-27,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00003,문화공원,근린공원,,울산광역시 남구 달동 416-1,35.54289686,129.3270733,56354.9,,어린이놀이마당,"지하주차장, 화장실, 매점",,썬큰가든,1976-08-28,울산광역시 남구청,052-226-4853,2022-03-31,3700000,울산광역시 남구
31140-00004,감골공원,어린이공원,,울산광역시 남구 신정동 1557-11,35.54095442,129.2985963,1932,,"조합놀이대, 그네",파고라,,,1978-12-19,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00005,봉월공원,어린이공원,,울산광역시 남구 신정동 1316-35,35.54244422,129.3044988,1886,,조합놀이대,"화장실, 파고라",,,1978-12-19,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00006,푸른공원,어린이공원,,울산광역시 남구 신정동 1891,35.53650067,129.3029414,1800.3,,"조합놀이대, 그네2",파고라,,,1978-12-19,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00007,무둔실공원,어린이공원,,울산광역시 남구 신정동 78-4,35.54556741,129.3205712,1982,,조합놀이대,파고라,,,1979-04-14,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00008,산학공원,어린이공원,,울산광역시 남구 무거동 575-1,35.5386066,129.2539074,1653.6,,"조합놀이대, 시소",파고라,,,1981-02-28,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00009,전골공원,어린이공원,,울산광역시 남구 무거동 579-1,35.54017248,129.2553016,1662.6,,"조합놀이대, 그네",파고라,,,1981-02-28,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00010,진등공원,어린이공원,,울산광역시 남구 무거동 625-15,35.54032308,129.2598673,1665.8,,"조합놀이대, 흔들놀이기구2, 시소, 그네",파고라,,,1981-02-28,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00011,신복소공원,소공원,,울산광역시 남구 무거동 327-26,35.55114598,129.2643491,687.1,,,,,,1984-12-26,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00012,수암공원,어린이공원,,울산광역시 남구 야음동 753-7,35.52142413,129.3212878,992,,조합놀이대,파고라,,,1986-02-25,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00013,울산대공원,근린공원,,울산광역시 남구 옥동 산 242,35.5281225,129.2916621,3699833,"파크골프장, 수영장, 양궁장","어린이놀이터, 뜀동산, 무지개그물놀이","주차장, 매점, 화장실","동물원, 교통안전공원",애견정원,1986-08-19,울산광역시 남구청,052-226-4853,2022-03-31,3700000,울산광역시 남구
31140-00014,문수공원,어린이공원,,울산광역시 남구 무거동 832-1,35.54913976,129.2545131,3007.6,농구장,"조합놀이대, 그네",파고라,,,1987-01-26,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00015,헐수정공원,어린이공원,울산광역시 남구 신복로23번길 16,울산광역시 남구 무거동 837,35.54738789,129.2585825,4078.6,,조합놀이대,,,,1987-01-26,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00016,쇠터공원,어린이공원,,울산광역시 남구 옥동 128-2,35.53101141,129.2956558,1520,,조합놀이대,,,,1987-02-28,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00017,동백공원,어린이공원,,울산광역시 남구 달동 773-7,35.5324733,129.322888,1500,,조합놀이대,,,,1987-07-16,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00018,늘푸른공원,어린이공원,,울산광역시 남구 삼산동 1476-5,35.53734762,129.3369026,2012,,그네2,,,,1987-11-14,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00019,움골공원,어린이공원,,울산광역시 남구 옥동 279-4,35.53703452,129.2870305,1840.1,,조합놀이대,,,,1988-08-20,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00020,은월공원,어린이공원,,울산광역시 남구 옥동 1388-16,35.53745101,129.2944252,1971,,조합놀이대,파고라,,,1988-08-20,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00021,개미공원,어린이공원,,울산광역시 남구 옥동 585-1,35.53657185,129.2890007,1840,,"조합놀이대, 그네",,,,1988-08-20,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00022,동그라미공원,어린이공원,,울산광역시 남구 달동 1293-3,35.53400255,129.3318377,4316.9,,"조합놀이대, 그네, 시소2",,,,1988-08-25,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
31140-00023,목화공원,어린이공원,,울산광역시 남구 달동 1268-7,35.53631167,129.3311914,1502.1,,"조합놀이대, 그네2, 시소2",파고라,,,1988-08-25,울산광역시 남구청,052-226-5903,2022-03-31,3700000,울산광역시 남구
28185-00021,함박공원,어린이공원,,인천광역시 연수구 연수동 535-3,37.4222546,126.6810562,5028,,,,,,1987-11-19,인천광역시 연수구청,032-749-8692,2021-10-22,3520000,인천광역시 연수구
41430-00111,근린공원,근린공원,경기도 의왕시 초평동 19-1,경기도 의왕시 초평동 19-1,37.31853826,126.9444774,14234,,,,,,2017-04-10,경기도 의왕시청,031-345-3083,2022-06-13,4030000,경기도 의왕시
41430-00114,갈미한글공원,문화공원,경기도 의왕시 내손동 228-1,경기도 의왕시 내손동 228-1,37.37796498,126.9849552,12537,,,,,분수,2011-05-17,경기도 의왕시청,031-345-3534,2022-06-13,4030000,경기도 의왕시
41430-00115,문화공원3,문화공원,경기도 의왕시 고천동 100-2,경기도 의왕시 고천동 100-2,37.34045017,126.9724043,15982,,,,,,2016-12-28,경기도 의왕시청,031-345-3083,2022-06-13,4030000,경기도 의왕시
41430-00116,노을빛공원,수변공원,경기도 의왕시 포일동 646-1,경기도 의왕시 포일동 646-1,37.40055682,126.9853646,7074.7,,,,,분수,2006-01-12,경기도 의왕시청,031-345-3534,2022-06-13,4030000,경기도 의왕시
41430-00117,부곡공원,수변공원,경기도 의왕시 삼동 629,경기도 의왕시 삼동 629,37.31798015,126.9567633,1085,,,,,,2014-10-31,경기도 의왕시청,031-345-3534,2022-06-13,4030000,경기도 의왕시
41430-00118,웃골공원,수변공원,경기도 의왕시 삼동 608,경기도 의왕시 삼동 608,37.31950435,126.9607335,5452.3,,,,,분수,2014-10-31,경기도 의왕시청,031-345-3534,2022-06-13,4030000,경기도 의왕시
41430-00119,아랫골공원,수변공원,경기도 의왕시 삼동 624,경기도 의왕시 삼동 624,37.31770136,126.9581511,17685.8,,,,,,2014-10-31,경기도 의왕시청,031-345-3534,2022-06-13,4030000,경기도 의왕시
41430-00120,공원,수변공원,경기도 의왕시 학의동 590,경기도 의왕시 학의동 590,37.37393939,127.0063426,3905,,,,,,2015-01-23,경기도 의왕시청,031-345-3833,2022-06-13,4030000,경기도 의왕시
41430-00121,공원,수변공원,경기도 의왕시 속말길 27,경기도 의왕시 학의동 727-2,37.372411,127.007843,27924,,,,,,2015-01-23,경기도 의왕시청,031-345-3833,2022-06-13,4030000,경기도 의왕시
41430-00122,공원,수변공원,경기도 의왕시 학의동 695,경기도 의왕시 학의동 695,37.37208619,127.0037513,8815,,,,,,2015-01-23,경기도 의왕시청,031-345-3833,2022-06-13,4030000,경기도 의왕시
41430-00123,공원,수변공원,경기도 의왕시 학의동 915-1,경기도 의왕시 학의동 915-1,37.36924143,127.0021326,13942,,,,,,2015-01-23,경기도 의왕시청,031-345-3833,2022-06-13,4030000,경기도 의왕시
41430-00124,공원,수변공원,경기도 의왕시 학의동 961-3,경기도 의왕시 학의동 961-3,37.36578049,127.0032943,4343,,,,,,2015-01-23,경기도 의왕시청,031-345-3833,2022-06-13,4030000,경기도 의왕시
41430-00125,공원,수변공원,경기도 의왕시 고천동 252,경기도 의왕시 고천동 252,37.34787856,126.9720646,11539,,,,,,2016-12-28,경기도 의왕시청,031-345-3833,2022-06-13,4030000,경기도 의왕시
